NO;HHNO;ORIGINALPERSONID
17745695;7085070;6393
17745876;7085166;6599
17745922;7085182;658
17745934;7085189;7143
17745959;7085189;2177
17746019;7085189;5354
17746024;7085224;1727
17746033;7085227;7815
17746373;7085359;1549
17746495;7085403;2060
17746547;7085422;2488
17746656;7085462;7636
17746678;7085471;3885
17746679;7085472;2733
17746704;7085481;6301
17746710;7085484;5323
17746726;7085484;2634
17746849;7085549;8032
17746890;7085569;6779
17746938;7085588;8092
17746942;7085588;1660
17747006;7085617;7727
17747205;7085706;4956
17747206;7085707;2624
17747277;7085740;2168
17747294;7085747;6319
17747318;7085754;4991
17747415;7085793;6135
17747447;7085793;7110
17747469;7085818;6398
17747521;7085838;2638
17747611;7085876;7843
17747678;7085905;3730
17747702;7085914;3757
17747722;7085914;3173
17747803;7085952;2161
17747807;7085952;4200
17747844;7085967;7546
17747876;7085967;3025
17747886;7085983;5090
17747893;7085988;4891
17747911;7085988;6611
17748215;7086121;4493
17748440;7086216;8071
17748452;7086216;3909
17748711;7086334;3677
17748777;7086361;195
17748780;7086361;1589
17748843;7086389;1897
17748941;7086389;5544
17748988;7086389;4849
17749075;7086495;3533
17749130;7086519;6221
17749142;7086522;5914
17749162;7086531;6477
17749167;7086531;1283
17749191;7086531;2139
17749208;7086553;4465
17749216;7086553;3978
17749219;7086556;3116
17749242;7086556;241
17749250;7086571;535
17749252;7086572;7188
17749274;7086582;4545
17749285;7086586;3585
17749298;7086586;2750
17749369;7086623;1363
17749372;7086624;3566
17749379;7086631;6902
17749399;7086638;1360
17749434;7086654;4847
17749439;7086654;2482
17749459;7086662;7987
17749465;7086662;7727
17749473;7086668;2416
17749565;7086706;3687
17749569;7086708;4091
17749634;7086744;7268
17749658;7086744;2599
17749676;7086762;6930
17749704;7086774;1051
17749901;7086860;7710
17749959;7086860;8275
17749989;7086898;1249
17750002;7086901;3494
17750014;7086905;6171
17750114;7086905;5644
17750115;7086905;7670
17750143;7086905;7751
17750147;7086958;5501
17750168;7086966;6940
17750267;7087009;1987
17750268;7087009;7565
17750389;7087060;1495
17750426;7087073;1088
17750591;7087144;5597
17750831;7087237;5821
17750983;7087297;3384
17750995;7087302;3830
17751014;7087311;1754
17751028;7087319;5140
17751162;7087374;3537
17751240;7087404;528
17751244;7087405;6405
17751276;7087405;6022
17751296;7087405;6583
17751433;7087480;7788
17751493;7087502;265
17751502;7087502;603
17751545;7087502;4898
17751549;7087521;5342
17751559;7087521;3171
17751601;7087547;5817
17751618;7087547;1561
17751632;7087559;6294
17751642;7087565;666
17751670;7087565;2356
17751679;7087565;2372
17751697;7087565;8067
17751705;7087594;4795
17751707;7087595;4266
17751800;7087630;3103
17751882;7087630;7620
17751900;7087675;7902
17752014;7087720;3035
17752228;7087806;7889
17752323;7087855;4888
17752418;7087893;3652
17752456;7087893;3443
17752497;7087931;2279
17752583;7087931;3749
17752672;7088012;3365
17752736;7088039;5313
17752950;7088130;5865
17753025;7088130;7747
17753120;7088130;120
17753130;7088204;3620
17753167;7088204;5582
17753176;7088221;6028
17753180;7088222;813
17753210;7088232;7019
17753246;7088246;3651
17753254;7088246;2038
17753483;7088346;1270
17753492;7088350;4957
17753526;7088363;1090
17753535;7088363;5379
17753545;7088363;2218
17753640;7088409;601
17753645;7088409;6835
17753660;7088409;865
17753666;7088420;927
17753830;7088490;6719
17753844;7088497;999
17753846;7088499;4730
17753930;7088534;6714
17753962;7088550;875
17753966;7088552;7901
17753992;7088552;616
17754099;7088552;2815
17754105;7088552;6500
17754129;7088624;1394
17754154;7088638;6375
17754247;7088679;689
17754282;7088690;3543
17754289;7088690;4274
17754306;7088690;3220
17754319;7088690;7697
17754407;7088743;4950
17754438;7088755;3639
17754509;7088785;8014
17754522;7088790;6574
17754580;7088790;4699
17754624;7088834;4350
17754752;7088891;2547
17754834;7088891;5665
17754911;7088966;2051
17754915;7088968;1667
17754921;7088969;6196
17754925;7088970;1424
17755018;7089009;4223
17755064;7089025;78
17755086;7089025;7933
17755096;7089025;1419
17755102;7089040;6124
17755147;7089063;734
17755168;7089071;437
17755206;7089087;7503
17755219;7089087;7625
17755230;7089096;2249
17755239;7089100;6729
17755296;7089100;5676
17755559;7089239;562
17755711;7089305;1319
17755731;7089305;7444
17755743;7089320;1740
17755747;7089321;4040
17755773;7089321;1674
17755804;7089321;5089
17755865;7089321;520
17755950;7089410;2321
17755968;7089410;5379
17755974;7089410;7504
17756035;7089439;5609
17756074;7089458;4053
17756124;7089458;6156
17756187;7089504;8153
17756199;7089504;5937
17756225;7089526;3463
17756330;7089526;2410
17756454;7089625;3359
17756736;7089746;4008
17756764;7089746;6423
17756815;7089776;4244
17756839;7089785;5378
17756848;7089785;1713
17756865;7089797;3351
17756912;7089819;7744
17756943;7089833;3960
17756978;7089850;4338
17757005;7089861;6274
17757049;7089861;397
17757079;7089891;3656
17757107;7089903;1352
17757260;7089965;3392
17757294;7089977;6154
17757300;7089977;5665
17757302;7089984;3451
17757318;7089989;4307
17757332;7089989;4822
17757343;7089998;6242
17757386;7089998;2555
17757420;7090027;6386
17757487;7090054;7587
17757498;7090054;770
17757521;7090064;7751
17757538;7090064;46
17757555;7090064;1083
17757584;7090064;1179
17757636;7090111;2323
17757646;7090111;2832
17757726;7090148;1381
17757743;7090154;3349
17757789;7090173;2046
17757814;7090180;859
17757825;7090183;6940
17757826;7090183;7559
17757870;7090197;6213
17757875;7090197;7507
17757896;7090209;295
17757969;7090234;5827
17758030;7090258;1304
17758091;7090278;6528
17758130;7090278;8109
17758338;7090373;4131
17758450;7090373;596
17758536;7090445;1405
17758538;7090445;2274
17758605;7090445;2686
17758620;7090479;1031
17758628;7090481;5565
17758666;7090500;1222
17758667;7090500;5644
17758673;7090500;5205
17758693;7090513;7757
17758776;6109053;5426
17758783;6109053;4088
17758834;7090575;3319
17758842;7090575;1351
17758853;7090575;1962
17758858;7090591;5909
17758948;7090634;1039
17758955;7090634;1627
17758956;7090634;8265
17758981;7090645;1655
17758988;7090645;616
17759091;7090645;3200
17759159;7090721;1330
17759160;7090721;7723
17759193;7090737;6197
17759217;7090747;4060
17759252;7090758;1340
17759325;7090787;2143
17759487;7090853;4669
17759494;7090853;7317
17759504;7090863;3822
17766379;7093658;6109
17766419;7093658;1229
17766423;7093658;4362
17769796;7095079;4748
17769891;7095115;5856
17769942;7095138;4063
17770058;7095189;840
17770062;7095190;583
17770115;7095213;1099
17770132;7095219;5174
17770146;7095228;1337
17770178;7095228;8219
17770207;7095257;5733
17770232;7095267;7686
17770474;7095367;7535
17770639;7095436;268
17770713;7095464;7284
17770794;7095500;2057
17770886;7095537;2282
17770890;7095539;3226
17770940;7095559;5185
17770973;7095559;7098
17770991;7095559;7796
17771058;7095559;1933
17771097;7095619;4844
17771214;7095669;4222
17771233;7095676;7618
17771241;7095684;6658
17771270;7095695;470
17771315;7095711;1236
17771319;7095711;2809
17771369;7095731;302
17771382;7095736;6596
17771389;7095739;2318
17771430;7095756;8249
17771492;7095756;7696
17771519;7095799;7589
17771537;7095804;2028
17771605;7095827;4391
17771633;7095837;648
17771726;7095877;7860
17771727;7095878;7139
17771750;7095886;1650
17771838;7095923;3254
17772024;7095999;4195
17772035;7096004;3253
17772141;7096042;3675
17772154;7096049;1942
17772159;7096052;5919
17772219;7096052;5420
17772268;7096092;7036
17772354;7096127;6308
17772357;7096127;4361
17772398;7096152;5923
17772479;7096185;300
17772494;7096190;6509
17772564;7096190;2589
17772643;7096249;3310
17772645;7096249;173
17772716;7096285;7810
17772721;7096285;1741
17772774;7096312;3334
17772788;7096312;6092
17772817;7096329;1141
17772848;7096342;3010
17772891;7096359;6894
17772915;7096376;7640
17772935;7096383;6350
17772971;7096394;2847
17773076;7096437;3307
17773176;7096479;2483
17773203;7096479;8258
17773218;7096498;7187
17773259;7096517;6536
17773333;7096517;6350
17773336;7096517;125
17773338;7096517;4301
17773343;7096517;5293
17773358;7096517;4304
17773418;7096576;2463
17773462;7096599;1747
17773479;7096606;4284
17773540;7096628;7891
17773580;7096644;3491
17773619;7096644;980
17773639;7096665;6053
17773690;7096682;4619
17773710;7096682;7531
17773785;7096715;1802
17773789;7096716;3852
17773809;7096724;2726
17773853;7096742;5615
17773862;7096745;7114
17773869;7096747;3635
17773905;7096747;4643
17773964;7096747;5501
17774048;7096816;6076
17774159;7096859;5606
17774446;7096977;2456
17774467;7096977;7963
17774559;7096977;7752
17774618;7096977;4208
17774671;7097069;6837
17774852;7097143;7663
17774939;7097181;5687
17775007;7097207;533
17775027;7097220;4211
17775112;7097262;7143
17775130;7097271;4241
17775142;7097275;6614
17775220;7097305;8015
17775287;7097333;2759
17775429;7097389;6976
17775450;7097389;4203
17775470;7097389;3377
17775483;7097408;3436
17775492;7097408;5031
17775570;7097440;6630
17775652;7097469;7659
17775690;7097488;6230
17775780;7097517;7479
17775851;7097541;3775
17775937;7097577;3497
17775957;7097586;6895
17775998;7097602;7094
17776084;7097636;213
17776196;7097680;2787
17776235;7097680;4535
17776270;7097680;3510
17776341;7097738;7761
17776342;7097738;2350
17776351;7097738;1889
17776376;7097738;5658
17776396;7097738;3333
17776422;7097738;5233
17776505;7097738;3651
17776591;7097838;7876
17776612;7097838;5941
17776638;7097854;937
17776687;7097875;4836
17776732;7097892;697
17776746;7097902;200
17776834;7097933;4871
17776899;7097933;5109
17777144;7098053;121
17777160;7098061;2429
17777205;7098061;6493
17777259;7098061;2132
17777283;7098061;2900
17777521;7098218;1143
17777584;7098240;8153
17777593;7098240;614
17777609;7098240;5197
17777611;7098250;6602
17777613;7098251;2138
17777703;7098283;8217
17777710;7098283;6010
17777726;7098295;5865
17777893;7098359;7856
17777968;7098391;1849
17777985;7098391;4438
17778075;7098391;2192
17778212;7098493;6365
17778238;7098502;1490
17778266;7098517;141
17778314;7098537;5191
17778331;7098537;6150
17778365;7098554;6812
17778688;7098686;2906
17778733;7098686;1904
17778747;7098713;3097
17778763;7098719;2588
17778805;7098737;7908
17778951;7098794;2910
17778965;7098800;7993
17778992;7098809;2274
17778995;7098809;4628
17779088;7098851;5200
17779092;7098852;1618
17779133;7098871;7582
17779164;7098885;554
17779179;7098892;3551
17779187;7098895;3858
17779194;7098898;1729
17779232;7098898;6761
17779243;7098898;7222
17779377;7098984;2290
17779398;7098992;5522
17779881;7099201;952
17779913;7099213;2347
17779941;7099213;1358
17779959;7099213;4614
17779961;7099213;44
17779968;7099233;250
17779974;7099233;1511
17779985;7099238;3887
17780042;7099238;5295
17780052;7099262;7734
17780184;7099319;5911
17780253;7099319;1935
17780393;7099398;4386
17780403;7099403;4103
17780433;7099413;8198
17780493;7099438;1144
17780506;7099438;2642
17780540;7099455;1587
17780579;7099467;4317
17780661;7099499;7067
17780687;7099511;3195
17780735;7099511;6654
17780741;7099511;117
17780742;7099532;2856
17780745;7099534;4167
17780846;7099580;1115
17780882;7099598;7212
17780948;7099622;4401
17781078;7099674;6799
17781231;7099739;6221
17781258;7099754;3305
17781269;7099761;466
17781286;7099761;3947
17781355;7099795;6505
17781377;7099795;6807
17781478;7099795;415
17781545;7099863;3482
17781558;7099870;662
17781635;7099907;3404
17781793;7099977;1086
17781811;7099984;2944
17781818;7099988;872
17781841;7100000;7500
17781871;7100014;6683
17782021;7100014;3968
17782042;7100085;4036
17782044;7100085;2011
17782064;7100093;7844
17782066;7100094;3874
17782095;7100106;816
17782129;7100118;2436
17782188;7100143;4047
17782198;7100147;5952
17782237;7100147;4329
17782246;7100165;2002
17782304;7100165;3068
17782316;7100165;7262
17782436;7100240;2658
17782542;7100278;4258
17782594;7100278;3969
17782607;7100303;1658
17782624;7100303;635
17782625;7100307;871
17782686;7100331;1541
17782722;7100347;6580
17782726;7100348;6560
17782823;7100385;5589
17782835;7100385;4423
17782836;7100385;6026
17782944;7100430;5450
17783000;7100452;6680
17783005;7100452;4690
17783038;7100452;3584
17783046;7100474;164
17783068;7100482;6910
17783132;7100511;166
17783138;7100516;6885
17783267;7100566;1540
17783414;7100620;6060
17783423;7100623;3253
17783459;7100639;7309
17783476;7100639;7988
17783493;7100651;4724
17783536;7100651;1294
17783574;7100687;7514
17783620;7100713;584
17783631;7100717;1710
17783657;7100726;3029
17783674;7100726;4355
17783714;7100749;2280
17783823;7100792;7863
17783841;7100800;6690
17783858;7100809;1383
17783911;7100809;506
17783933;7100809;3258
17784033;7100809;3277
17784056;7100809;6044
17784111;7100907;3374
17784134;7100915;6475
17784138;7100917;6350
17784204;7100945;8029
17784464;7101048;1456
17784503;7101066;645
17784544;7101081;5268
17784581;7101096;6767
17784592;7101096;5166
17784969;7101263;5405
17784996;7101275;5934
17785435;7101451;2855
17785493;7101472;4651
17785513;7101472;4644
17785525;7101472;5489
17785526;7101490;3962
17785600;7101515;4597
17785656;7101515;5592
17785658;7101515;825
17785712;7101565;646
17785734;7101565;3221
17785869;7101635;5012
17785884;7101635;6741
17785902;7101651;2337
17785959;7101680;1106
17786151;7101764;961
17786187;7101780;1345
17786227;7101780;6630
17786481;7101906;6307
17786584;7101948;4693
17786612;7101948;862
17786624;7101948;3559
17786676;7101948;789
17786694;7101948;4951
17786803;7102038;2958
17786808;7102041;2980
17786818;7102044;3719
17786851;7102059;4330
17786891;7102073;934
17786900;7102078;459
17786940;7102100;7603
17786946;7102100;2459
17787081;7102100;4625
17787104;7102164;7833
17787130;7102178;1969
17787164;7102178;7123
17787186;7102200;4716
17787195;7102200;8128
17787205;7102200;1258
17787210;7102211;1694
17787237;7102211;5805
17787244;7102224;1775
17787257;7102231;3031
17787297;7102247;5576
17787424;7102299;8091
17787461;7102310;4573
17787582;7102354;3527
17787663;7102390;7695
17787669;7102392;4519
17787910;7102484;5728
17787928;7102484;5963
17787973;7102511;5823
17788017;7102532;3082
17788022;7102532;5130
17788050;7102532;2637
17788142;7102585;1463
17788144;7102585;1780
17788175;7102600;7669
17788200;7102608;6970
17788202;7102609;1469
17788276;7102638;6984
17788304;7102648;4512
17788415;7102692;3875
17788439;7102692;5877
17788493;7102723;8018
17788585;7102763;1084
17788612;7102763;8151
17788649;7102788;6291
17788757;7102833;3275
17788791;7102833;6379
17788830;7102864;5719
17788869;7102877;2796
17788878;7102877;5720
17788882;7102877;3910
17789001;7102926;6002
17789022;7102935;4654
17789145;7102987;6694
17789193;7102987;7744
17789196;7103012;6891
17789197;7103012;4845
17789199;7103012;3321
17789215;7103018;516
17789268;7103040;1473
17789371;7103084;5214
17789381;7103089;2737
17789441;7103089;7469
17789451;7103114;1218
17789503;7103136;4868
17789504;7103136;175
17789511;7103139;7231
17789528;7103146;6105
17789578;7103165;1062
17789643;7103165;6372
17789704;7103226;1387
17789738;7103236;6308
17789751;7103236;3942
17789778;7103236;4816
17789801;7103265;7302
17789841;7103283;5267
17789855;7103283;6252
17789962;7103283;4098
17789967;7103283;1801
17789974;7103340;4344
17790113;7103394;7498
17790154;7103394;2500
17790243;7103449;1282
17790373;7103449;6129
17790620;7103614;8104
17790629;7103614;4965
17790642;7103614;5324
17790670;7103639;5161
17790694;7103639;4650
17790710;7103639;7419
17790722;7103657;8252
17790748;7103657;7121
17790777;7103657;4894
17790832;7103703;55
17791185;7103851;1812
17791190;7103855;2970
17791196;7103860;3781
17791288;7103899;1707
17791361;7103926;3994
17791369;7103930;3831
17791386;7103930;5241
17791430;7103948;3617
17791458;7103961;3503
17791466;7103961;6089
17791524;7103990;5576
17791533;7103993;7079
17791572;7103993;676
17791581;7104010;4465
17791610;7104023;7245
17791612;7104023;6596
17791658;7104039;6764
17791661;7104039;886
17791676;7104039;259
17791698;7104039;612
17791724;7104039;6904
17791743;7104073;2506
17791786;7104089;3492
17791819;7104102;7199
17792092;7104220;1544
17792105;7104225;4328
17792148;7104246;6931
17792400;7104361;5363
17792435;7104372;5323
17792461;7104380;6818
17792632;7104380;1596
17792643;7104445;4657
17792657;7104445;641
17792708;7104445;6965
17792716;7104469;1477
17792748;7104483;393
17792818;7104483;2194
17792909;7104483;6302
17792971;7104483;3527
17792984;7104573;904
17793007;7104573;5953
17793096;7104620;6619
17793185;7104652;5297
17793224;7104668;7298
17793225;7104669;2834
17793237;7104673;4699
17793241;7104673;749
17793265;7104673;2886
17793278;7104673;4147
17793289;7104673;1600
17793383;7104739;8156
17793413;7104739;803
17793425;7104757;5161
17793436;7104760;5792
17793438;7104760;1645
17793447;7104764;3785
17793455;7104764;7925
17793464;7104771;5926
17793466;7104772;7086
17793542;7104806;8041
17793597;7104806;459
17793608;7104828;7630
17794010;7104992;7126
17794022;7104995;7968
17794157;7105042;7464
17794220;7105070;390
17794295;7105102;617
17794308;7105102;3394
17794326;7105116;5932
17794343;7105125;2016
17794410;7105156;6893
17794431;7105165;5667
17794445;7105165;6438
17794497;7105192;4504
17794636;7105252;798
17794656;7105259;762
17794693;7105277;4853
17794703;7105277;729
17794829;7105332;2558
17794853;7105341;5544
17794892;7105341;1494
17794907;7105362;285
17794911;7105364;6318
17794982;7105364;4168
17795020;7105411;2835
17795072;7105430;2436
17795079;7105433;2028
17795080;7105433;5871
17795122;7105451;3637
17795156;7105451;3886
17795190;7105481;3683
17795224;7105481;909
17795272;7105481;1573
17795297;7105481;1507
17795368;7105481;7599
17795393;7105559;1987
17795582;7105631;5944
17795587;7105633;2966
17795654;7105662;1517
17795681;7105676;4946
17795708;7105676;149
17795712;7105676;3483
17795715;7105676;5788
17795977;7105794;6370
17796007;7105805;6720
17796064;7105833;6527
17796077;7105840;501
17796078;7105840;5506
17796121;7105840;366
17796311;7105840;1875
17796321;7105932;3224
17796353;7105932;1845
17796491;7106000;875
17796507;7106007;5342
17796515;7106010;5000
17796602;7106045;6926
17796645;7106045;441
17796743;7106103;3466
17796746;7106104;3834
17796753;7106108;1269
17796924;7106176;1929
17797041;7106218;6347
17797049;7106218;348
17797070;7106218;2042
17797105;7106218;6851
17797121;7106218;7661
17797167;7106272;4423
17797179;7106278;8007
17797221;7106278;4603
17797319;7106335;103
17797343;7106344;1457
17797368;7106354;6713
17797398;7106367;7320
17797446;7106367;6903
17806276;7110016;7529
17806279;7110016;5386
17806345;7110043;4041
17806403;7110069;1868
17806548;7110131;2167
17806567;7110131;198
17806582;7110142;3204
17806641;7110142;1076
17806705;7110142;1776
17806738;7110142;6183
17806783;7110225;444
17806803;7110225;3443
17806881;7110263;5639
17806913;7110273;3596
17806928;7110273;1278
17807010;7110310;4160
17807126;7110354;596
17807192;7110383;2066
17807196;7110383;463
17807200;7110383;4134
17807257;7110407;4957
17807286;7110407;515
17807315;7110431;7074
17807336;7110439;7292
17807345;7110439;4948
17807385;7110457;226
17807391;7110458;1792
17807426;7110458;7044
17807473;7110491;3
17807495;7110501;6797
17807497;7110501;3680
17807551;7110528;1525
17807570;7110537;1753
17807587;7110545;603
17807603;7110552;7869
17807620;7110557;5272
17807649;7110571;3677
17807683;7110582;7915
17807688;7110585;3784
17807698;7110590;4604
17807736;7110609;3489
17807757;7110616;6911
17807812;7110616;2827
17807850;7110616;1524
17807889;7110677;5256
17807910;7110685;2743
17807916;7110685;3461
17807930;7110693;2805
17807965;7110705;5443
17807991;7110716;7079
17808036;7110732;4997
17808073;7110748;2271
17808112;7110768;2562
17808125;7110768;8027
17808217;7110807;4693
17808236;7110807;6789
17808270;7110807;5487
17808322;7110807;7957
17808355;7110807;2460
17808365;7110870;941
17808371;7110872;1725
17808393;7110883;3367
17808399;7110885;3663
17808435;7110895;250
17808474;7110912;5358
17808484;7110912;3275
17808495;7110912;5165
17808523;7110912;143
17808558;7110912;6166
17808573;7110952;7367
17808586;7110957;1479
17808632;7110974;3424
17808639;7110976;5783
17808672;7110987;5543
17808674;7110987;5241
17808687;7110998;2830
17808708;7111006;1319
17808734;7111015;130
17808735;7111015;7110
17808738;7111015;7683
17808842;7111057;1758
17808844;7111057;1053
17808964;7111057;4167
17808994;7111128;211
17808999;7111130;1904
17809121;7111182;579
17809159;7111182;5416
17809165;7111182;2340
17809263;7111242;2619
17809265;7111242;1818
17809275;7111247;3946
17809320;7111268;642
17809339;7111282;6317
17809376;7111297;3078
17809394;7111308;8242
17809435;7111328;4088
17809516;7111358;5730
17809524;7111358;5419
17809605;7111396;7431
17809625;7111407;5930
17809704;7111437;764
17809710;7111440;2618
17809711;7111440;7151
17809721;7111445;5583
17809752;7111462;1486
17809768;7111462;2626
17809855;7111505;6079
17809898;7111527;2731
17809922;7111527;4552
17809933;7111527;5174
17809990;7111558;6105
17810049;7111578;1054
17810063;7111585;6675
17810224;7111649;5441
17810243;7111655;7975
17810268;7111663;3469
17810276;7111667;1593
17810350;7111694;1947
17810357;7111694;2996
17810359;7111699;3603
17810418;7111699;1681
17810439;7111733;4911
17810463;7111744;5424
17810488;7111744;4008
17810543;7111776;271
17810545;7111776;716
17810572;7111787;3186
17810694;7111839;5530
17810704;7111839;5265
17810731;7111854;1755
17810791;7111877;5684
17810828;7111877;118
17810833;7111893;5148
17810845;7111893;1675
17810897;7111917;5429
17810924;7111929;943
17810950;7111939;5098
17810969;7111947;5355
17811074;7111992;1171
17811113;7111992;2401
17811191;7111992;5355
17811194;7112040;5793
17811222;7112054;2318
17811291;7112083;4991
17811347;7112083;4144
17811355;7112108;5265
17811408;7112129;285
17811462;7112154;3958
17811468;7112157;5460
17811523;7112157;3496
17811541;7112157;935
17811543;7112157;5573
17811564;7112157;3
17811844;7112313;1469
17813025;7112805;8088
17815941;7114003;1616
17815978;7114018;4962
17816029;7114039;1794
17816088;7114039;2317
17816102;7114072;4751
17816165;7114072;406
17816189;7114072;7034
17816247;7114072;1421
17816264;7114072;6349
17816435;7114201;2171
17816468;7114213;4311
17816641;7114283;5899
17816671;7114283;7881
17816770;7114334;7097
17816779;7114334;1334
17816826;7114361;8080
17816931;7114361;2772
17817038;7114451;4125
17817058;7114451;7984
17817081;7114451;5608
17817118;7114488;7420
17817133;7114495;809
17817215;7114536;2451
17817226;7114542;4365
17817230;7114542;4680
17817243;7114542;3636
17817244;7114548;4072
17817312;7114548;5995
17817428;7114620;3010
17817440;7114626;7685
17817475;7114640;3432
17817529;7114662;2025
17817544;7114670;2031
17817553;7114672;987
17817695;7114734;764
17817834;7114793;663
17817863;7114804;6698
17817882;7114813;3056
17817893;7114813;1973
17817899;7114822;2985
17817926;7114822;2266
17818018;7114872;3030
17818056;7114887;3377
17818108;7114912;1447
17818160;7114926;8008
17818245;7114926;1970
17818354;7115011;4410
17818367;7115016;8079
17818378;7115020;557
17818379;7115021;4258
17818445;7115021;5804
17818472;7115056;5528
17818483;7115056;4591
17818538;7115080;4918
17818593;7115080;1578
17818798;7115189;1227
17818987;7115262;1339
17818989;7115262;511
17819044;7115285;8052
17819084;7115285;3805
17819230;7115359;3788
17819234;7115359;8023
17819262;7115369;5856
17819264;7115370;4174
17819295;7115383;6741
17819328;7115396;5734
17819439;7115438;2483
17819454;7115446;1033
17819471;7115446;1795
17819572;7115496;3286
17819595;7115505;2543
17819653;7115505;4612
17819690;7115538;5657
17819870;7115620;3888
17819882;7115627;6843
17819887;7115630;1742
17819894;7115634;5291
17819909;7115634;5674
17820097;7115719;1471
17820283;7115799;2988
17820287;7115799;4829
17820308;7115810;6254
17820326;7115810;2827
17820364;7115810;4144
17820376;7115837;5582
17820488;7115837;1484
17820550;7115905;8208
17820572;7115905;2501
17820655;7115942;6325
17820663;7115945;7267
17820743;7115945;6001
17820746;7115975;2752
17820767;7115975;5099
17820824;7116004;144
17820938;7116053;1018
17820957;7116053;2060
17820959;7116060;7483
17820962;7116062;24
17820997;7116075;6959
17821008;7116080;5502
17821009;7116080;6087
17821031;7116080;1579
17821060;7116080;6833
17821106;7116115;1533
17821188;7116150;4954
17821195;7116153;4116
17821209;7116159;5364
17821214;7116162;1970
17821247;7116176;6064
17821384;7116229;5582
17821410;7116237;3242
17821495;7116272;2019
17821519;7116281;7436
17821645;7116281;6224
17821677;7116343;3884
17821708;7116357;351
17821754;7116375;2886
17821757;7116375;2946
17821796;7116392;1003
17821827;7116392;5550
17821849;7116392;6396
17821852;7116413;5077
17821864;7116417;6095
17821939;7116444;2668
17821940;7116444;5261
17822115;7116518;6916
17822314;7116599;4920
17822331;7116608;187
17822332;7116608;6829
17822453;7116655;3213
17822588;7116715;1801
17822734;7116771;6182
17822787;7116771;7200
17822842;7116815;7460
17822847;7116817;3798
17822885;7116817;1545
17822899;7116837;3777
17822917;7116842;4124
17822939;7116850;915
17822976;7116863;488
17822988;7116867;5288
17823003;7116873;6441
17824874;7117651;3962
17824881;7117653;722
17824906;7117662;6288
17824908;7117662;1149
17825258;7117808;6460
17825331;7117849;5147
17825336;7117849;6386
17825410;7117882;2241
17825426;7117890;5417
17825513;7117890;7489
17825584;7117954;5137
17825589;7117956;4483
17825595;7117961;2193
17825626;7117977;4573
17825637;7117981;3058
17825845;7118070;6149
17825920;7118101;5183
17825924;7118101;6951
17826108;7118176;6366
17826122;7118181;433
17826150;7118181;5483
17826234;7118231;1680
17826288;7118250;6882
17826290;7118250;2342
17826345;7118272;1562
17826389;7118272;3690
17826501;7118272;7804
17826531;7118272;3454
17826658;7118404;1789
17826660;7118404;6743
17826661;7118405;3916
17826665;7118407;3536
17826706;7118407;1451
17826741;7118439;5104
17826773;7118439;1907
17826783;7118458;5785
17826812;7118469;6610
17826834;7118469;7887
17826935;7118469;3044
17826943;7118529;4376
17827042;7118570;3120
17827071;7118584;1994
17827196;7118637;4853
17827209;7118637;6597
17827223;7118648;5394
17827360;7118703;6444
17827365;7118706;1042
17827427;7118728;530
17827445;7118735;321
17827449;7118737;7789
17827483;7118750;1593
17827603;7118750;2504
17827604;7118750;6223
17827624;7118800;2477
17827686;7118800;6604
17827736;7118800;2556
17827890;7118800;2128
17827891;7118905;6098
17827893;7118906;4119
17827955;7118932;1633
17827980;7118941;3498
17827981;7118941;7937
17828011;7118941;3127
17828045;7118941;2391
17828052;7118970;563
17828101;7118970;1143
17828170;7119028;135
17828186;7119034;6382
17828194;7119038;5688
17828206;7119041;6727
17828221;7119041;4233
17828253;7119041;1434
17828403;7119129;4874
17828539;7119198;4472
17828540;7119198;6725
17828610;7119228;2776
17828617;7119234;3096
17828666;7119255;3315
17828722;7119276;3150
17828736;7119283;4937
17828749;7119287;6058
17828765;7119295;7037
17828920;7119361;2990
17828969;7119382;371
17829005;7119396;6522
17829007;7119396;7772
17829012;7119396;3165
17829031;7119406;934
17829039;7119407;4939
17829055;7119414;5236
17829063;7119414;2663
17829118;7119414;1216
17829207;7119475;5521
17829230;7119485;5722
17829233;7119485;4750
17829292;7119510;6387
17829377;7119546;5572
17829383;7119546;3876
17829497;7119546;4892
17829517;7119546;18
17829584;7119629;1035
17829594;7119633;3100
17829604;7119633;2939
17829647;7119656;4692
17829831;7119721;283
17829870;7119734;8229
17829884;7119734;1446
17830024;7119802;4873
17830026;7119804;1700
17830030;7119804;7185
17830031;7119804;4272
17830075;7119820;5236
17830120;7119840;7502
17830154;7119855;1946
17830160;7119855;2813
17830275;7119906;4775
17830309;7119923;31
17830310;7119923;1040
17830383;7119923;5119
17830407;7119923;1819
17830416;7119923;1573
17830434;7119985;2935
17830818;7120143;7123
17830921;7120188;1413
17830956;7120204;6250
17831034;7120227;1592
17831046;7120233;830
17831117;7120258;6129
17831209;7120294;3499
17831223;7120294;1819
17831293;7120327;4327
17831301;7120327;1912
17831344;7120344;1010
17831387;7120366;3705
17831405;7120366;1707
17831441;7120366;8028
17831570;7120449;3354
17831664;7120491;4978
17831756;7120529;5203
17831827;7120560;4914
17832032;7120636;3594
17832063;7120636;7511
17832064;7120636;3585
17832180;7120706;4594
17832332;7120776;7138
17832402;7120803;5323
17832422;7120803;2668
17832485;7120834;8058
17832531;7120861;6728
17832676;7120861;4458
17832684;7120930;6664
17832732;7120949;7507
17832781;7120967;6667
17832812;7120967;7430
17832821;7120984;7337
