NO;LOCATIONNO;ORIGINALHHID
4125542;804130;355
4125737;804157;2013
4125809;804176;4644
4125830;804195;2740
4125847;804253;1383
4125906;804309;1656
4125971;804360;2463
4126017;804420;1379
4126042;804427;1334
4126119;804436;3233
4126124;804451;5166
4126142;804461;1850
4126148;804466;725
4126367;804540;4355
4126407;804557;4706
4126425;804568;3461
4126426;804580;1225
4126580;804657;2346
4126603;804669;2389
4126630;804677;1637
4126658;804687;2145
4126711;804725;3034
4126777;804739;3318
4126782;804753;1686
4126806;804759;3207
4126857;804784;4573
4126876;804794;1679
4126884;804823;3768
4126942;804836;675
4127012;804993;4687
4127028;805039;1490
4127044;805049;288
4127119;805078;2232
4127281;805120;3353
4127305;805144;4100
4127683;805195;757
4127709;805232;3408
4127790;805272;5169
4127807;805306;2281
4127842;805340;4025
4127912;805376;3540
4127915;805387;2962
4127926;805422;944
4127929;805425;2597
4127963;805508;975
4128034;805511;648
4128132;805598;3965
4128158;805619;2480
4128192;805639;381
4128204;805648;4447
4128211;805651;4565
4128336;805665;1204
4128435;805677;1605
4128504;805799;1278
4128586;805820;2424
4128772;805908;174
4128950;805916;2806
4128975;805939;314
4128980;805946;3453
4129234;805975;1020
4129462;806057;5130
4129491;806082;1240
4129617;806102;2629
4129675;806112;4749
4129694;806178;3259
4129817;806213;3028
4129830;806234;5090
4129944;806268;2550
4130072;806292;1018
4130196;806346;1042
4130341;806362;4753
4130458;806431;4297
4130599;806445;4281
4130683;806532;1696
4130779;806537;1969
4130798;806600;1126
4130842;806617;3852
4130845;806644;4999
4130932;806646;1864
4131118;806669;4957
4131136;806670;1790
4131142;806700;1153
4131224;806744;2963
4131381;806776;3286
4131482;806785;3867
4131489;806810;509
4131578;806841;1795
4131615;806843;2309
4131649;806864;4392
4131803;806885;2656
4131899;806892;4294
4131923;806897;3300
4132015;806910;4418
4132079;806958;4716
4132144;807024;1188
4132160;807053;948
4132557;807076;737
4132602;807084;2992
4132656;807185;4134
4132714;807234;2369
4132994;807295;1459
4133060;807346;4137
4133111;807353;1090
4133469;807497;3180
4133574;807610;780
4133638;807640;1898
4133842;807671;4818
4133863;807678;2810
4134257;807752;3151
4134416;807781;4883
4134450;807868;2904
4134465;807883;3213
4134527;807929;384
4134542;807932;4667
4134851;807936;458
4134886;807954;5055
4135039;807987;161
4135162;807988;4047
4135235;808065;4944
4135321;808071;598
4135331;808118;3074
4135402;808128;3900
4135403;808136;3177
4135882;808218;2012
4135920;808257;4368
4136012;808271;2970
4136524;808338;2416
4136565;808360;3144
4136638;808367;108
4137038;808375;3437
4137052;808432;1058
4137071;808444;4708
4137098;808450;2187
4137102;808546;245
4137120;808556;2324
4137139;808626;408
4137216;808649;5157
4137326;808658;4418
4137398;808728;4503
4137402;808757;2128
4137410;808782;3322
4137636;808829;1380
4137646;809024;871
4137714;809066;3326
4137814;809095;3843
4137836;809165;917
4137916;809273;4363
4138218;809324;4269
4138265;809347;1192
4138372;809398;5134
4138527;809422;1899
4138547;809427;18
4138617;809454;2165
4138804;809467;495
4138947;809474;2762
4139057;809484;2652
4139121;809486;810
4139160;809503;3566
4139245;809588;2355
4139280;809590;4721
4139360;809598;3036
4139404;809605;551
4139993;809659;952
4140052;809684;3847
4140141;809696;4731
4140176;809706;1481
4140318;809791;927
4140350;809821;3908
4140405;809838;4908
4140475;809920;4947
4140637;809937;3660
4140687;809966;1329
4140874;809995;2239
4141029;810001;4889
4141051;810021;5072
4141147;810036;5112
4141691;810085;867
4141786;810091;3274
4141838;810092;3132
4141980;810097;1473
4141999;810101;4268
4142054;810105;4853
4142147;810144;3772
4142771;810157;1507
4142924;810202;244
4142925;810232;3795
4143730;810252;2895
4143841;810271;652
4143907;810277;3165
4144155;810284;4530
4144160;810285;1559
4144196;810383;326
4144341;810393;2006
4144462;810459;641
4144554;810545;979
4144585;810547;2361
4144688;810571;3221
4144845;810610;2241
4144891;810683;662
4145083;810741;4631
4145107;810760;671
4145232;810776;1195
4145389;810839;3677
4145671;810855;335
4145737;810863;4827
4145942;810869;4391
4146075;810879;4623
4146251;810885;2081
4146282;810892;2084
4146354;810926;3662
4146379;810931;4509
4146430;810938;2806
4146568;810957;4661
4146733;810963;4721
4146795;811025;4812
4146837;811079;4356
4147128;811167;1235
4147286;811192;2444
4147320;811211;1318
4147332;811443;927
4147457;811464;4769
4147547;811507;4448
4147696;811543;4794
4147710;811562;1330
4147756;811569;1024
4148583;811946;231
4148631;811947;3918
4148694;811952;2081
4148724;812006;3500
4148852;812023;2285
4149045;812108;122
4149055;812114;1081
4149285;812131;4657
4149427;812138;934
4149778;812149;2776
4149868;812177;1327
4149937;812186;1484
4149950;812205;1220
4150117;812214;1879
4150186;812232;3108
4150307;812340;3160
4150409;812360;1534
4150454;812380;345
4150720;812432;4100
4150785;812513;4670
4150958;812534;1607
4150980;812582;1133
4151112;812584;320
4151138;812650;2812
4151270;812699;4905
4151276;812719;2219
4151360;812775;1877
4151361;812823;1976
4151426;812844;2197
4151462;812868;590
4151479;812942;3319
4151563;813005;1223
4151696;813097;4883
4151734;813112;153
4151771;813186;3415
4152668;813189;4489
4152737;813208;805
4152775;813226;5108
4153002;813263;3407
4153244;813264;3844
4153795;813297;4716
4153903;813316;5056
4154340;813318;4929
4154406;813323;3559
4154493;813355;4803
4154604;813373;3044
4155482;813382;3551
4155546;813389;785
4155629;813400;4428
4156078;813405;3536
4156262;813435;3830
4156322;813463;6
4156509;813466;1747
4156549;813502;711
4156777;813548;4185
4157317;813595;3662
4157604;813606;5125
4158150;813611;1554
4158636;813612;3856
4158755;813621;1450
4158834;813666;3190
4158913;813682;2699
4159050;813708;3706
4159200;813751;2809
4159280;813756;836
4159461;813789;3978
4159749;813861;2196
4160332;813875;2659
4161444;813925;2782
4161573;813967;3238
4161783;814037;3912
4162335;814045;1279
4162490;814138;4211
4162521;814182;984
4162556;814183;1697
4162611;814215;2197
4162788;814255;1213
4162835;814317;3763
4163007;814319;900
4163028;814334;960
4163078;814344;2111
4163092;814362;3312
4163566;814365;1347
4163581;814367;84
4164132;814391;5018
4164274;814397;1637
4164526;814441;4444
4164538;814499;1312
4164813;814534;4765
4164956;814560;3056
4165051;814588;2832
4165255;814671;4509
5000774;815710;3448
5000946;816080;2185
5002383;817609;4572
5003695;819170;5102
5004036;819542;3159
5004804;820648;3887
5004953;820811;1166
5006899;822450;2872
5007755;823200;2214
5008545;823834;339
5010375;825817;1098
5011862;827493;2934
5016057;831868;3265
5016879;832802;4991
5017459;833113;3484
5019152;834943;4501
5019216;834966;339
5019312;835157;2173
5020925;837493;1233
5021030;837672;4701
5022024;838498;246
5022262;838684;2618
5029310;845816;4153
5029719;846031;4495
5030160;846239;3906
5032091;848719;5011
5032804;849646;3874
5035503;852519;5108
5035934;853015;1218
5038904;855987;4305
5039027;856246;1950
5041437;858472;465
5041793;858948;4291
5043334;861405;5128
5044069;862219;1763
5044866;862922;3729
5045079;863251;4596
5045526;863774;2775
5046072;864318;4316
5047170;865318;4191
5047404;865427;912
5047568;865650;442
5047856;865982;2714
5048318;866544;276
5048672;866893;736
5049221;867545;2634
5050202;868461;578
5051873;869979;1643
5055276;873874;2308
5056066;874275;2844
5057356;875871;4608
5059486;877461;382
5060009;878016;3044
5060651;878726;175
5061768;879753;4134
5062273;880521;3276
5062437;880546;2334
5065344;883623;3794
5065458;883786;3041
5065557;883800;4646
5065569;883807;1519
5065578;883853;2844
5065593;883896;794
5065739;883925;2672
5065770;883946;1782
5065793;883964;4582
5065803;883977;4667
5065816;883978;3202
5065817;884037;3336
5065822;884038;1798
5065878;884043;4944
5066009;884076;3859
5066011;884110;2291
5066098;884144;1280
5066103;884150;3889
5066136;884165;3546
5066154;884252;2361
5066185;884256;4751
5066192;884259;1051
5066207;884279;2055
5066213;884321;3060
5066257;884368;4512
5066270;884390;859
5066288;884457;3691
5066297;884477;1113
5066322;884503;2464
5066386;884534;1090
5066437;884582;4167
5066444;884649;2279
5066471;884659;958
5066490;884667;4469
5066491;884686;4773
5066537;884734;3615
5066539;884736;2681
5066553;884794;1071
5066630;884803;4747
5066631;884823;4206
5066637;884840;2633
5066661;884883;4358
5066777;884902;1711
5066804;884914;1988
5066821;884962;4552
5066880;884972;1632
5066881;884981;3298
5066938;884983;4087
5066986;885038;939
5067031;885097;52
5067094;885107;971
5067108;885108;539
5067128;885136;671
5067161;885162;1596
5067164;885180;2141
5067179;885189;2047
5067256;885192;3336
5067287;885196;4173
5067300;885199;2063
5067353;885204;203
5067366;885213;172
5067414;885286;4431
5067463;885288;4425
5067512;885291;2694
5067519;885296;3432
5067540;885338;3497
5067542;885414;3624
5067544;885425;349
5067586;885443;5020
5067689;885445;3875
5067705;885448;4948
5067745;885478;2714
5067759;885501;921
5067762;885581;2472
5067799;885609;448
5067852;885616;3649
5067870;885695;2316
5067878;885804;4702
5067886;885809;3897
5067936;885813;5141
5067954;885875;4683
5067989;885889;3681
5068006;885913;3325
5068015;885919;1358
5068022;885939;971
5068118;886019;1436
5068121;886071;1730
5068136;886093;4710
5068141;886132;3495
5068159;886138;560
5068170;886172;2228
5068231;886193;2367
5068238;886230;1029
5068262;886238;940
5068274;886239;4889
5068314;886243;1140
5068329;886257;163
5068340;886298;3353
5068342;886307;1022
5068443;886321;4022
5068475;886388;4321
5068515;886391;4464
5068535;886409;1359
5068554;886419;1167
5068563;886428;600
5068628;886437;1081
5068654;886439;4739
5068704;886447;4724
5068720;886493;3054
5068721;886497;2312
5068728;886512;3619
5068843;886522;397
5068857;886530;3674
5068859;886546;837
5068908;886732;777
5068979;886752;2644
5069040;886802;1636
5069064;886831;4132
5069117;886866;2920
5069148;886883;4662
5069187;886893;4320
5069204;886934;640
5069210;886967;3713
5069218;886986;3986
5069255;887005;4562
5069270;887070;527
5069303;887085;4005
5069312;887141;4952
5069349;887214;4804
5069351;887249;3206
5069370;887263;3182
5069397;887289;3665
5069398;887421;1359
5069418;887567;1173
5069477;887569;3879
5069559;887577;2944
5069668;887632;3993
5069698;887660;3603
5069741;887686;979
5069744;887695;1593
5069756;887802;4645
5069840;887903;961
5069920;887993;4718
5069923;888021;4124
5069958;888027;924
5069960;888071;3595
5069980;888085;248
5069999;888100;2425
5070056;888128;1278
5070108;888211;3982
5070123;888242;2605
5070133;888257;5014
5070151;888275;4707
5070187;888385;3713
5070244;888424;464
5070393;888429;5030
5070428;888477;3922
5070448;888497;4544
5070475;888506;3382
5070498;888570;556
5070510;888601;3404
5070554;888668;550
5070574;888690;1659
5070575;888713;4278
5070582;888738;1749
5070586;888818;5073
5070590;888822;4825
5070620;888897;4296
5070622;888929;1791
5070623;888933;3540
5070624;888972;2655
5070658;889010;4073
5070662;889020;4681
5070668;889026;134
5070793;889034;3584
5070797;889091;1045
5070829;889147;2672
5070848;889164;4687
5070855;889186;825
5070939;889325;4632
5070970;889362;3521
5071032;889369;1284
5071083;889453;2871
5071095;889476;2881
5071236;889478;3770
5071249;889535;4020
5071270;889608;2371
5071290;889611;4272
5071291;889615;2664
5071413;889669;2963
5071417;889678;641
5071513;889727;5071
5071545;889728;3129
5071594;889818;2645
5071598;889905;2338
5071616;889954;506
5071626;889973;1987
5071653;890005;824
5071666;890013;5183
5071680;890076;315
5071693;890136;3627
5071707;890165;1892
5071709;890228;251
5071728;890230;2604
5071730;890233;1612
5071734;890257;4042
5071749;890290;3904
5071800;890293;4428
5071820;890302;472
5071837;890310;1786
5071877;890312;3556
5071900;890336;3565
5072097;890385;3143
5072122;890425;4327
5072131;890432;1215
5072196;890494;2014
5072214;890537;4431
5072261;890598;1245
5072294;890608;2064
5072314;890623;5040
5072342;890662;4528
5072376;890694;1602
5072381;890738;653
5072382;890769;1821
5072398;890803;124
5072413;890810;4362
5072458;890837;4201
5072525;890842;881
5072532;890941;4244
5072543;890966;1311
5072552;891028;5023
5072572;891061;4496
5072625;891065;3343
5072652;891102;2839
5072653;891134;1133
5072687;891157;2689
5072704;891184;1642
5072730;891190;2889
5072749;891224;2620
5072770;891231;142
5072824;891257;1296
5072831;891266;1680
5072835;891279;3562
5072852;891282;3893
5072863;891292;3421
5072894;891297;3612
5072907;891355;5117
5072913;891373;3094
5072926;891453;2380
5073049;891455;3711
5073151;891523;2984
5073163;891560;4969
5073172;891674;3039
5073224;891681;669
5073262;891784;390
5073274;891836;4503
5073280;891841;3501
5073343;891865;3737
5073385;891895;174
5073399;891897;2463
5073478;891921;181
5073483;891938;4448
5073514;891942;219
5073517;891947;1143
5073574;892030;3734
5073582;892075;406
5073598;892078;101
5073618;892103;3664
5073641;892125;3067
5073661;892150;3013
5073671;892165;150
5073800;892167;1899
5073809;892180;468
5073839;892200;605
5073872;892213;5053
5073906;892223;2933
5073959;892236;1559
5074017;892256;904
5074052;892297;409
5074070;892338;3495
5074103;892372;3755
5074110;892409;977
5074128;892464;4928
5074159;892513;2921
5074166;892530;581
5074175;892542;4980
5074186;892587;3793
5074251;892588;37
5074309;892600;101
5074320;892604;3625
5074331;892628;1482
5074339;892658;315
5074342;892707;4340
5074344;892746;4121
5074367;892876;1266
5074371;892922;4360
5074380;892941;2667
5074387;893022;4840
5074417;893028;4331
5074418;893046;4908
5074419;893075;3542
5074435;893104;2584
5074466;893125;4641
5074497;893141;3523
5074506;893181;236
5074517;893240;2998
5074549;893251;3233
5074572;893289;1642
5074581;893338;4491
5074591;893388;1423
5074637;893399;4065
5074711;893404;3998
5074724;893484;1298
5074735;893486;1817
5074738;893490;2836
5074776;893586;3625
5074787;893593;1693
5074797;893642;1273
5074813;893646;4831
5074841;893824;3406
5074881;893867;4506
5074889;894013;335
5074929;894032;4787
5074934;894036;851
5074966;894051;650
5075050;894054;2049
5075092;894063;4487
5075132;894067;1288
5075133;894117;2215
5075245;894171;1832
5075286;894235;1443
5075331;894299;1629
5075381;894316;2415
5075390;894349;4137
5075530;894379;3767
5075549;894403;4137
5075597;894412;1227
5075647;894421;151
5075718;894422;3663
5076022;894457;5082
5076117;894460;3018
5076212;894478;2435
5076281;894507;5118
5076284;894645;330
5076309;894667;459
5076339;894694;1364
5076417;894730;2678
5076513;894770;1701
5076534;894791;4335
5076548;894850;2277
5076563;894854;3230
5076619;894858;20
5076702;894892;385
5076802;895079;4455
5076856;895096;4039
5076907;895102;2359
5076915;895124;4737
5076936;895131;1846
5076974;895256;4401
5076999;895286;4337
5077087;895291;851
5077316;895323;3769
5077369;895358;1296
5077516;895413;1103
5077564;895423;2226
5077626;895427;1062
5077659;895462;4533
5077660;895465;2758
5077679;895473;4808
5077695;895484;965
5077708;895486;4041
5077749;895493;2340
5077791;895503;74
5077854;895532;488
5077899;895572;1089
5077953;895583;2092
5077968;895591;4815
5077975;895661;668
5077978;895668;3517
5077982;895723;4687
5078007;895786;3521
5078038;895788;4492
5078056;895848;4432
5078075;895857;4879
5078139;895872;4981
5078148;895900;915
5078158;895918;3891
5078176;895919;1291
5078193;895924;2385
5078285;895960;4270
5078288;895982;4325
5078332;896004;3660
5078382;896013;5093
5078392;896045;1152
5078401;896109;116
5078523;896131;166
5078554;896141;3324
5078561;896213;3968
5078567;896330;1281
5078605;896336;2679
5078615;896380;1848
5078626;896393;2528
5078628;896406;95
5078649;896452;1038
5078663;896486;2096
5078699;896507;4004
5078706;896509;3603
5078738;896607;2985
5078752;896664;3149
5078883;896667;3826
5078885;896668;167
5078912;896751;3782
5078937;896802;2819
5078948;896825;1724
5078966;896836;2665
5079051;896845;1072
5079063;896863;3314
5079085;896886;4386
5079087;896941;3203
5079112;896968;1016
5079132;896969;111
5079134;897010;3730
5079137;897027;2568
5079177;897040;2855
5079231;897063;1324
5079246;897087;1252
5079253;897107;4170
5079261;897118;4535
5079275;897132;341
5079285;897147;1791
5079334;897158;3471
5079412;897186;2522
5079579;897217;2098
5079613;897273;3854
5079627;897286;1802
5079656;897362;1969
5079669;897372;4647
5079688;897417;2063
5079693;897419;1448
5079715;897451;1867
5079759;897496;2626
5079774;897547;2027
5079783;897550;2628
5079798;897645;4326
5079810;897669;4202
5079843;897672;1023
5079861;897681;5141
5079886;897694;977
5079899;897708;4982
5079900;897715;4131
5079925;897802;3241
5079940;897832;4460
5079997;897843;4400
5080044;897850;2137
5080061;897860;623
5080073;897929;469
5080108;897941;2034
5080121;897942;283
5080129;898035;4964
5080144;898118;4330
5080166;898130;5188
5080181;898131;1018
5080201;898366;2521
5080226;898396;744
5080262;898457;5052
5080319;898532;774
5080342;898550;3625
5080368;898552;242
5080414;898589;4654
5080467;898627;3304
5080489;898653;2142
5080502;898661;117
5080522;898666;9
5080574;898674;5081
5080601;898726;3608
5080606;898759;2487
5080688;898790;310
5080777;898792;3387
5080778;898800;1239
5080835;898820;2028
5080973;898847;3085
5080984;898861;1476
5081010;898887;973
5081049;898942;1624
5081054;899030;1914
5081056;899037;3090
5081065;899038;4813
5081106;899041;2257
5081146;899100;767
5081153;899113;1254
5081255;899189;1657
5081264;899219;2841
5081268;899232;4617
5081303;899296;313
5081414;899312;1832
5081432;899348;218
5081437;899410;5094
5081451;899473;2909
5081454;899495;2773
5081457;899517;3872
5081479;899519;756
5081484;899528;2469
5081485;899530;2811
5081496;899573;3791
5081497;899617;1329
5081507;899632;4698
5081513;899670;1174
5081519;899755;2391
5081584;899761;1613
5081625;899782;738
5081639;899900;1033
5081641;899922;1875
5081676;899930;4332
5081723;899958;3161
5081735;900003;4846
5081772;900004;4563
5081779;900049;2444
5081803;900056;4700
5081807;900068;3775
5081881;900086;806
5081887;900193;3331
5081929;900195;3887
5081936;900210;2777
5081990;900234;4784
5081994;900242;397
5082037;900278;2037
5082052;900334;3086
5082111;900401;4141
5082124;900483;2920
5082170;900512;2632
5082199;900554;3950
5082216;900571;1691
5082231;900579;4785
5082233;900602;1210
5082258;900712;3471
5082269;900737;3529
5082273;900851;4739
5082276;900894;1732
5082279;900911;710
5082312;900947;2740
5082412;901001;4781
5082444;901020;2313
5082470;901026;1076
5082503;901053;1967
5082629;901145;4498
5082638;901148;2513
5082667;901201;1838
5082695;901207;4918
5082705;901220;1331
5082725;901320;2208
5082753;901390;4470
5082829;901419;336
5082862;901482;1451
5082873;901511;2154
5082880;901554;757
5082935;901611;2207
5082968;901626;4989
5083020;901627;772
5083024;901632;1699
5083038;901721;3412
5083056;901767;2432
5083061;901782;592
5083068;901807;3578
5083129;901826;1602
5083149;901923;1287
5083211;901945;3478
5083232;901954;1639
5083249;901968;4426
5083416;901974;4203
5083471;901975;4094
5083539;902070;3525
5083562;902117;2066
5083572;902120;3072
5083579;902181;934
5083585;902211;4243
5083679;902245;3963
5083686;902263;1860
5083710;902264;634
5083724;902273;3002
5083781;902296;2253
5083980;902297;164
5083996;902347;3479
5084020;902365;4000
5084034;902376;2690
5084043;902400;2173
5084059;902429;2970
5084098;902486;4644
5084139;902529;2914
5084152;902536;4484
5084205;902584;222
5084219;902685;1631
5084224;902747;646
5084264;902752;4244
5084283;902847;2823
5084322;902907;2794
5084326;902909;4588
5084366;902913;4941
5084392;902918;3744
5084417;902922;1603
5084422;902944;815
5084433;902980;1975
5084501;902984;4465
5084580;903025;1020
5084588;903056;1762
5084659;903059;3811
5084668;903087;204
5084691;903099;421
5084692;903129;2696
5084699;903148;865
5084734;903199;3408
5084763;903233;2270
5084801;903242;2794
5084857;903252;624
5084863;903293;3126
5084886;903300;4380
5084900;903303;2049
5085027;903304;3661
5085070;903367;1367
5085166;903479;1053
5085182;903480;2904
5085189;903518;178
5085224;903549;5178
5085227;903556;3382
5085359;903614;4746
5085403;903617;4804
5085422;903632;1612
5085430;903671;2990
5085462;903711;2184
5085471;903730;3850
5085472;903766;1927
5085481;903778;4112
5085484;903806;1652
5085503;903856;3237
5085549;903860;4023
5085569;903871;1575
5085588;903910;4004
5085617;903941;1424
5085706;903948;2300
5085707;903995;3454
5085740;904033;2451
5085747;904124;2480
5085754;904167;3511
5085793;904173;3908
5085818;904241;3622
5086553;904711;3610
5086958;905299;347
5087521;905691;345
5087595;905890;4493
5090173;908196;4006
5090180;908217;4684
5092146;910356;1032
5092285;910463;4906
5092323;910505;1757
5092331;910535;3382
5092440;910651;2971
5092462;910660;1749
5092531;910775;1573
5092592;910806;2247
5092607;910824;4037
5092636;910834;4260
5092674;910849;643
5092714;910850;4589
5092753;910936;905
5092761;910956;2778
5092789;910984;565
5092804;911039;4112
5092822;911046;4655
5092862;911088;2684
5092938;911090;1764
5092942;911128;3555
5093054;911141;2795
5093058;911219;4587
5093060;911286;4321
5093107;911312;1204
5093199;911367;3230
5093203;911417;1021
5093221;911481;2439
5093295;911489;4354
5093316;911520;578
5093329;911555;4280
5093357;911600;3650
5093404;911631;1102
5093448;911655;1795
5093555;911712;3084
5093565;911757;1033
5093639;911763;138
5093642;911777;999
5093656;911791;3121
5093658;911805;749
5093777;911864;3055
5093837;911880;3221
5093972;911905;4836
5093981;911935;217
5094022;911984;3759
5094064;911987;2143
5094115;912016;3589
5094126;912021;376
5094192;912054;4114
5094223;912057;1705
5094339;912084;3169
5094420;912143;780
5094486;912172;4544
5094503;912199;3172
5094528;912202;3256
5094542;912203;1634
5094554;912246;2309
5094576;912289;4922
5094583;912300;845
5094599;912316;2790
5094626;912384;2420
5094646;912420;3902
5094656;912437;1380
5094700;912453;1494
5094796;912492;4304
5094802;912506;3099
5094823;912545;3652
5094827;912580;740
5094866;912629;513
5094894;912641;3076
5094895;912688;190
5094899;912764;2123
5094926;912768;2685
5095024;912787;3704
5095025;912837;221
5095065;912838;503
5095076;912840;3192
5095078;912844;4567
5095079;912856;1890
5095115;912880;5076
5095138;912914;3093
5095189;912973;1973
5095190;912981;2209
5095213;912994;2909
5095219;913000;2594
5095228;913031;517
5095257;913078;2518
5095267;913099;3378
5095367;913122;3983
5095436;913142;4449
5095464;913151;3277
5095500;913153;717
5095537;913183;1695
5095539;913186;1134
5095557;913200;1985
5095559;913201;4513
5095619;913236;939
5095669;913309;2529
5095676;913324;4563
5095695;913396;3663
5095711;913426;444
5095731;913514;942
5095736;913581;4209
5095739;913585;4153
5095756;913596;5138
5095804;913612;3393
5095827;913619;2288
5095837;913690;491
5095877;913730;2503
5095878;913788;4203
5095886;913820;943
5095923;913834;2419
5095934;913915;4088
5095962;913991;2734
5095999;914021;4280
5096004;914025;4876
5096042;914027;970
5096049;914058;1819
5096052;914069;4781
5096092;914108;4644
5096127;914229;3525
5096152;914247;3502
5096185;914248;2131
5096190;914276;1034
5096249;914282;2300
5096285;914345;928
5096312;914359;3927
5096329;914385;984
5096342;914470;4154
5096359;914483;1309
5096376;914487;4722
5096383;914524;2905
5096394;914547;1856
5096437;914589;3589
5096479;914609;524
5096498;914663;4262
5096517;914706;2134
5096576;914721;4119
5096599;914728;1154
5096606;914735;4382
5096628;914767;4703
5096644;914801;4005
5096665;914829;4420
5096682;914846;3927
5096715;914953;3231
5096716;914956;1414
5096724;914984;3951
5096742;915047;4727
5096745;915078;1426
5096747;915086;2394
5096816;915087;5121
5096859;915146;2230
5096977;915152;2704
5097069;915165;4511
5097143;915328;4014
5097181;915341;4141
5097207;915397;900
5097220;915428;397
5097262;915517;3051
5097271;915535;3247
5097275;915542;693
5097305;915580;1953
5097333;915641;4496
5097389;915719;3912
5097408;915720;2834
5097440;915741;875
5097469;915745;185
5097488;915746;688
5097541;915773;4250
5097543;915808;1842
5097577;915836;4817
5097586;915917;2158
5097602;915926;3043
5097636;915938;2481
5097680;915966;120
5097738;915981;4805
5097838;916021;4959
5097854;916034;2583
5097875;916037;5177
5097892;916063;2692
5097902;916065;1251
5097933;916075;3861
5098053;916136;350
5098061;916151;34
5098218;916154;4073
5098240;916258;1166
5098250;916312;4225
5098251;916335;1132
5098283;916383;1841
5098295;916414;3952
5098359;916425;1823
5098391;916434;1452
5098493;916441;410
5098502;916448;1189
5098517;916453;2493
5098537;916455;4808
5098554;916475;2960
5098686;916514;1782
5098713;916519;3291
5098719;916532;3443
5098737;916574;610
5098794;916604;349
5098800;916693;4970
5098809;916710;2706
5098851;916724;263
5098852;916773;2543
5098871;916787;4553
5098885;916799;3973
5098892;916830;4525
5098895;916889;394
5098898;916900;648
5098984;916905;10
5098992;917008;1171
5099111;917033;867
5099201;917068;3704
5099213;917105;4726
5099233;917122;3022
5099238;917151;1782
5099262;917165;3819
5099319;917190;2128
5099398;917315;4287
5099403;917336;4844
5099413;917450;2352
5099438;917491;2318
5099455;917514;887
5099467;917524;2296
5099499;917525;490
5099511;917534;4374
5099532;917599;1655
5099534;917630;5108
5099580;917682;2581
5099598;917703;3781
5099622;917720;3343
5099674;917774;4789
5099739;917832;2352
5099754;917842;1400
5099761;917874;2618
5099795;917875;3331
5099841;917916;171
5099863;917917;2162
5099870;917935;734
5099907;917957;3401
5099977;917968;4868
5099984;917971;2986
5099988;917997;4152
5100000;918015;1170
5100014;918035;2431
5100085;918044;3514
5100093;918073;604
5100094;918103;3155
5100106;918138;2367
5100118;918212;5148
5100143;918228;3515
5100147;918336;45
5100165;918354;4203
5100240;918366;1703
5100278;918371;2349
5100303;918382;1097
5100307;918389;2521
5100331;918464;1322
5100347;918540;2860
5100348;918571;2943
5100385;918609;3002
5100430;918664;4136
5100452;918672;5100
5100474;918704;1212
5100482;918718;2260
5100511;918724;3603
5100516;918756;1264
5100566;918769;4139
5100620;918773;1383
5100623;918821;3499
5100639;918938;286
5100651;919004;1930
5100687;919016;1884
5100713;919043;5007
5100717;919056;21
5100726;919091;3081
5100749;919129;3882
5100792;919204;128
5100800;919219;4785
5100809;919278;2531
5100907;919310;4822
5100915;919351;1901
5100917;919365;4399
5100945;919372;804
5101048;919378;3861
5101066;919455;1823
5101081;919466;4874
5101096;919475;1509
5101263;919498;1333
5101275;919503;1838
5101307;919558;694
5101451;919564;4415
5101472;919570;4093
5101490;919637;1245
5101515;919654;1459
5101565;919664;4255
5101635;919666;4548
5101651;919682;2549
5101680;919726;2373
5101764;919739;859
5101780;919744;1901
5101906;919770;1158
5101948;919902;4569
5101999;919917;852
5102038;919930;3735
5102041;919956;1399
5102044;919996;3795
5102059;920008;531
5102073;920096;172
5102078;920108;3537
5102100;920131;4195
5102164;920145;238
5102178;920151;5116
5102200;920170;2803
5102211;920264;1749
5102224;920270;4582
5102231;920298;4140
5102247;920325;796
5102267;920391;1804
5102299;920405;4984
5102310;920416;20
5102354;920423;4114
5102390;920436;3088
5102392;920440;4877
5102484;920441;2228
5102511;920594;3515
5102532;920623;2234
5102585;920656;4881
5102600;920694;2515
5102608;920768;1130
5102609;920793;2903
5102638;920801;111
5102648;920857;2991
5102692;920871;2934
5102723;920880;4264
5102763;920937;2460
5102788;920944;3611
5102833;920954;2566
5102864;920960;950
5102877;920971;857
5102926;920981;4499
5102935;921017;2499
5102987;921066;112
5103012;921105;1664
5103018;921162;4514
5103040;921170;4498
5103084;921180;564
5103089;921214;3530
5103114;921308;3569
5103136;921312;3922
5103139;921339;1582
5103146;921350;1438
5103165;921364;4792
5103226;921369;5034
5103236;921386;534
5103265;921393;2230
5103283;921415;4028
5103340;921439;3769
5103394;921479;845
5103449;921494;1936
5103614;921498;1236
5103639;921591;2493
5103657;921628;4602
5103703;921660;5035
5103851;921720;2795
5103855;921766;3351
5103860;921789;1049
5103899;921792;5160
5103926;921922;3243
5103930;921966;1092
5103948;921989;4852
5103961;922051;3859
5103990;922174;4551
5103993;922176;2402
5104010;922177;120
5104023;922191;2552
5104039;922251;2627
5104073;922273;578
5104089;922276;562
5104102;922344;3652
5104220;922370;2556
5104225;922398;3944
5104246;922461;4065
5104361;922468;2693
5104372;922509;1807
5104380;922535;3720
5104445;922594;2167
5104469;922667;156
5104483;922679;2612
5104620;922712;1352
5104652;922746;3253
5104668;922776;1471
5104669;922796;5018
5104673;922834;1895
5104739;922911;3508
5104757;922981;3647
5104760;922997;1357
5104764;923076;2764
